安德思	Ān Désī	a man from Honduras
感覺	gǎnjué	(Vst) to feel
實際	shíjì	(Vs) actual
難怪	nánguài	(Adv) it's no wonder, no wonder'
季節	jìjié	(N) season
火鍋	huǒguō	(N) hotpot
海鮮	hǎixiān	(N) seafood
新鮮	xīnxiān	(Vs) fresh
櫻花	yīnghuā	(N) cherry blossom
變化	biànhuà	(N) change
氣溫	qìwēn	(N) temperature (weather)
差	chā	(Vst) to differ
幾乎	jīhū	(Adv) almost
乾	gān	(Vs) dry
發霉	fāméi	(Vp-sep) to mildew
除濕機	chúshījī	(N) dehumidifier
雨季	yǔjì	(N) rainy season
涼快	liángkuài	(Vs) cool
潮濕	cháoshī	(Vs) humid
悶	mēn	(Vs) stuffy
冷氣	lěngqì	(N) air conditioning
荷蘭	Hélán	the Netherlands (lit. Holland)
出大太陽	chū dà tàiyáng	to be blazing hot
颳風	guā fēng	to be windy (lit. blow wind)
受到	shòu dào	to receive, to be, to get
受不了	shòu bù liǎo	can't stand it'
餓死了	è sǐle	to starve to death (an exaggeration)
後母臉	hòumǔ liǎn	stepmother's face, i.e., stern and cruel look'
祖先	zǔxiān	(N) ancestor
移民	yímín	(Vi) to immigrate, to emigrate
當中	dāngzhōng	(N) of, amongst
根據	gēnjù	(Prep) based on, in accordance with, according to
農曆	nónglì	(N) the lunar calendar (lit. the agricultural calendar)
農業	nóngyè	(N) agriculture
農人	nóngrén	(N) farmer
難得	nándé	(Vs) hard-to-come-by, rare
祭祖	jìzǔ	(Vi) to venerate ancestors
拜	bài	(V) to honor, to pay homage to
神	shén	(N) gods, divinities
拜拜	bàibài	(Vi) to present offerings to gods or ancestors
蚊蟲	wénchóng	(N) mosquitoes and other insects
戴	dài	(V) to wear (items other than those that cover the torso, legs, or feet, mostly ornamental items.)
香包	xiāngbāo	(N) fragrant sachet
掛	guà	(V) to hang
瘟疫	wēnyì	(N) pestilence, plague
做法	zuòfǎ	(N) method, way of doing something
多少	duōshǎo	(Adv) somewhat
作用	zuòyòng	(N) effect
迷信	míxìn	(N) superstition
收成	shōuchéng	(N) harvest
民族	mínzú	(N) ethnic group
月亮	yuèliàng	(N) moon
圓	yuán	(Vs) round
社會	shèhuì	N society
團聚	tuánjù	(Vi) to get-together, to reunite; reunion of family members (in this lesson)
月餅	yuèbǐng	(N) moon cake (shaped like the moon)
柚子	yòuzi	(N) pomelo
故事	gùshì	(N) story
溫馨	wēnxīn	(Vs) warm, heart-warming
端午節	Duānwǔ jié	the Dragon Boat Festival (the 5th day of the 5th month)
中秋節	Zhōngqiū jié	the Mid-autumn Moon Festival (the 15th day of the 8th month)
雄黃酒	xiónghuáng jiǔ	realgar liquor, a wine seasoned with realgar, a type of arsenic, and is traditionally considered to be an antidote to other poisons
古時候	gǔ shíhòu	historically; in ancient times
趕走	gǎnzǒu	to drive away
過節	guò jié	to spend the holiday in some manner
愛	ài	(Vst) to love
人情味	rénqíngwèi	(N) to be hospitable, kind, friendly
放	fàng	(V) to release
天燈	tiāndēng	(N) sky lantern
願望	yuànwàng	(N) wish
訊號	xùnhào	(N) signal (data connection)
元宵	yuánxiāo	(N) sweet sticky rice dumplings
牆	qiáng	(N) wall
耐心	nàixīn	(N) patience
感動	gǎndòng	(Vs) to be touched, moved
擔仔麵	dànzǎimiàn	(N) danzai noodles (special dish from Tainan)
招牌	zhāopái	(N) store sign
當地	dāngdì	(Vs-attr) local
賺	zhuàn	(V) to earn
而	ér	(Adv) on the other hand, rather
交	jiāo	(V) to make (friends)
理想	lǐxiǎng	(N) ideals, aspirations
剛剛	gānggāng	(Adv) just now
改天	gǎitiān	(Adv) some other day
無聊	wúliáo	(Vs) boring, dull
東區	dōngqū	(N) the East District (of Taipei)
煙火	yānhuǒ	(N) fireworks
跨年	kuànián	(Vi) welcome in the (solar) New Year (lit. span years)
種類	zhǒnglèi	(N) type, category
價錢	jiàqián	(N) price
感覺	gǎnjué	(N) feeling; a feeling of
雞排	jīpái	(N) chicken fillet
口	kǒu	(M) mouthful
紅茶	hóngchá	(N) black tea (lit. red tea)
平溪	Píngxī	Pingxi, a town in northern Taiwan
元宵節	Yuánxiāo jié	the Lantern Festival (15th day of the 1st month)
孔廟	Kǒngmiào	Confucian Temple
校外教學	xiàowài jiāoxué	field trip, class excursion
碰到	pèngdào	to run into
水煎包	shuǐjiān bāo	pan-fried pork bun
同事	tóngshì	(N) colleague, coworker
美食	měishí	(N) delicacies, delicious foods
上	shàng	(V) to go up to
泡	pào	(V) to steep (tea) / to soak oneself in, i.e., to bath in
錯過	cuòguò	(Vpt) to miss (an opportunity)
營業	yíngyè	(Vi) to open for business, in operation (businesses)
夜景	yèjǐng	(N) night view
古老	gǔlǎo	(Vs) ancient, antiquated
古蹟	gǔjī	(N) historical site
重視	zhòngshì	(Vst) to place emphasis on, to lay stress on, to value
歷史	lìshǐ	(N) history
風俗	fēngsú	(N) customs
習慣	xíguàn	(N) habit
道地	dàodì	(Vs) authentic
粥	zhōu	(N) congee, watery rice
講究	jiǎngjiù	(Vst) to be discriminating in, to be discerning, meticulous
頓	dùn	(M) measure word for the duration of a meal
速度	sùdù	(N) speed
窄	zhǎi	(Vs) narrow
街道	jiēdào	(N) street
蓋	gài	(V) to build, to erect
待	dāi	(Vi) to stay, to remain
欣賞	xīnshǎng	(V) to appreciate, to enjoy
美麗	měilì	(Vs) beautiful
鈴木	Língmù	Japanese last name: Lingmu (Japanese: Suzuki)
赤崁樓	Chìkǎn lóu	Chihkan Tower, a.k.a. Fort Provintia (stronghold built by the Dutch, in Tainan, in the 17th  century)
留下來	liú xià lái	to leave behind
木造	mùzào	wooden; made from wood
非去不可	fēiqù bùkě	Visiting (it) is a must!!
流行	liúxíng	(Vst) popular
唉	āi	(Ptc) Oh no! Oh boy!
演唱會	yǎnchànghuì	(N) concert
塞車	sāichē	(Vs) net congestion, jam
上線	shàngxiàn	(V-sep) to log in, go online
成功	chénggōng	(Vp) to succeed
倒楣	dǎoméi	(Vs) out of luck, down on one's luck'
樂團	yuètuán	(N) (music) band
唱	chàng	(V) to sing
興奮	xīngfèn	(Vs) excited
迷	mí	(Vst) to be enamored with, be into, be enchanted by, be obsessed with
歌詞	gēcí	(N) lyrics
難過	nánguò	(Vs) sad
不如	bùrú	(Vst) inferior to
現場	xiànchǎng	(N) live; lit. on-site
跳	tiào	(Vi) to jump
整	zhěng	(Det) entire, whole
震動	zhèndòng	(Vi) to vibrate, to shake
漫畫	mànhuà	(N) comics
內容	nèiróng	(N) content
色情	sèqíng	(Vs) pornographic; obscene
放鬆	fàngsōng	(Vst) to relax
心情	xīnqíng	(N) mood
五月天	Wǔyuètiān	Mayday (name of a Taiwanese rock band)
算了	suàn le	forget it; let it be!
受歡迎	shòu huānyíng	well-received; well-liked; popular
擠滿	jǐmǎn	crowded with, packed with
租書店	zūshū diàn	book rental store
平板電腦	píngbǎn diànnǎo	tablet computer
智慧型手機	zhìhuìxíng shǒujī	smartphone
殺時間	shā shíjiān	to kill time
漫畫展	mànhuà zhǎn	comic (book) exhibition
來不及	lái bù jí	not be in time for, not make it on time
撞衫	zhuàngshān	(Vs) "wardrobe clash", more than one person unintentionally wearing duplicate garments
它	tā	(N) it
塞	sāi	(V) to stuff, cram, squeeze (into)
當季	dāngjì	(N) in season
款式	kuǎnshì	(N) style (of clothes)
連續劇	liánxùjù	(N) TV series
主角	zhǔjiǎo	(N) leading role, leading actor
甜美	tiánměi	(Vs) sweet and cute, lovely
寄	jì	(V) to mail
居然	jūrán	(Adv) unexpectedly, counter to assumption
害	hài	(V) adversely impacting somebody so that they…
既然	jìrán	(Conj) since, given that…
服裝	fúzhuāng	(N) clothing, garments
媒體	méitǐ	(N) the media
方式	fāngshì	(N) method, ways
吸引	xīyǐn	(Vst) to attract, to draw
避免	bìmiǎn	(V) to avoid
包包	bāobāo	(N) bag, purse
商人	shāngrén	(N) businessperson
產品	chǎnpǐn	(N) product
電子	diànzǐ	(N) electronics
市場	shìchǎng	(N) market
新型	xīnxíng	(Vs-attr) new style
落伍	luòwǔ	(Vs) behind the times, passé, old-fashioned
知音	zhīyīn	(N) bosom buddy, confidant
想像	xiǎngxiàng	(V) to imagine
喇叭褲	lǎbākù	(N) bell-bottom pants
印象	yìnxiàng	(N) impression
遊戲	yóuxì	(N) game
化妝	huàzhuāng	(V-sep) to apply cosmetics, to make up
一模一樣	yìmó yíyàng	identical
淺藍色	qiǎn lánsè	light blue
脫掉	tuōdiào	to take off (clothing)
小題大作	xiǎotí dàzuò	to make a mountain out of a molehill, to make a big deal of nothing
推出	tuīchū	to introduce, to roll out (products)
李文彥	Lǐ Wényàn	an American-born Chinese
表哥	biǎogē	(N) cousin (older male cousin, from a female lineage)
隨便	suíbiàn	(Adv) as one pleases oneself, to act freely
種	zhòng	(V) to grow (plants)
蔬菜	shūcài	(N) vegetable
農夫	nóngfū	(N) farmer
減少	jiǎnshǎo	(V) to reduce, to decrease
農藥	nóngyào	(N) pesticide
天然	tiānrán	(Vs-attr) natural
堆肥	duīféi	(N) compost
辛苦	xīnkǔ	(Vs) tough, hard, bitter (life, work, etc.)
地位	dìwèi	(N) position, status
收入	shōurù	(N) income
利潤	lìrùn	(N) profit
屋子	wūzi	(N) house
番茄	fānqié	(N) tomato
品種	pǐnzhǒng	(N) variety, species
氣候	qìhòu	(N) climate
長	zhǎng	(Vi) to grow
熟	shóu	(Vp) to be ripe, to ripen
片	piàn	(M) measure word for a stretch, swath (of land)
田	tián	(N) field, plot of land, paddy
照顧	zhàogù	(V) to take care of
敢	gǎn	(Vaux) to dare
條件	tiáojiàn	(N) terms, conditions, (here) good qualities (in a prospective spouse)
黑	hēi	(Vp) dark, black
摘下來	zhāi xiàlái	to pluck, to pick (e.g., fruit from a tree)
做不動	zuò bú dòng	to be unable to physically function due to old age
基因改造	jīyīn gǎizào	genetically modified
忙得過來	máng de guòlái	to be able to manage everything
開玩笑	kāi wánxiào	to joke, to kid
看天吃飯	kàntiān chīfàn	livelihood depends on the whims of nature
小農	xiǎonóng	(N) small farmer
市集	shìjí	(N) bazaar, market
食材	shícái	(N) food materials, ingredients
產地	chǎndì	(N) place of origin
盡量	jìnliàng	(Adv) to do one's best to'
友善	yǒushàn	(Vs) friendly
對待	duìdài	(V) to treat
土地	tǔdì	(N) land
信任	xìnrèn	(Vst) to trust
寧可	níngkě	(Vst) would rather
跑	pǎo	(Vi) to run
支持	zhīchí	(V) to support
文章	wénzhāng	(N) article
推銷	tuīxiāo	(V) to promote, to market
其中	qízhōng	(N) of these, of which, amongst which
師傅	shīfù	(N) master (of a trade)
農村	nóngcūn	(N) farming village
長大	zhǎngdà	(Vi) to grow up
幫助	bāngzhù	(V) to help
拜訪	bàifǎng	(V) to pay someone a visit
出產	chūchǎn	(V) to produce
由於	yóuyú	(Conj) due to, because of
許多	xǔduō	(Det) many
接近	jiējìn	(Vst) to come close to, to approach
自然	zìrán	(N) nature
變成	biànchéng	(Vpt) to become
休閒	xiūxián	(Vs) leisure
隨著	suízhe	(Prep) along with, with the happening of
觀光	guānguāng	(Vi) to tour, to sightsee
消費	xiāofèi	(Vi) to be a consumer, to purchase things
安靜	ānjìng	(Vs) quiet
消失	xiāoshī	(Vp) to disappear
出問題	chū wèntí	to go wrong, to have problems
一方面	yì fāngmiàn	on the one hand
親	qīn	(Vs) close (as of familial relationship)
爺爺	yéye	(N) grandpa (father's side)'
鄰居	línjū	(N) neighbor
狗	gǒu	(N) dog
叫	jiào	(Vi) to bark
嗯	en	(Ptc) an interjection indicating the speaker's agreement'
奶奶	nǎinai	(N) grandma (father's side)'
過世	guòshì	(Vp) to die, pass away (honorific)
領養	lǐngyǎng	(V) to adopt
隻	zhī	(M) measure word for animals
可愛	kě'ài'	(Vs) cute
孤單	gūdān	(Vs) lonely
牠	tā	(N) it (animals)
髒	zāng	(Vs) dirty
洗澡	xǐzǎo	(V-sep) to take a bath
養	yǎng	(V) to raise, to keep
亂	luàn	(Adv) arbitrarily, without rhyme or reason
咬	yǎo	(V) to bite
打	dǎ	(V) to hit, beat, smack, slap
分手	fēnshǒu	(Vp) to break up (said of romantic relationships)
緊張	jǐnzhāng	(Vs) tense
減輕	jiǎnqīng	(V) to reduce
送	sòng	(V) to take to
美容院	měiróngyuàn	(N) beauty salon
推車	tuīchē	(N) stroller
主人	zhǔrén	(N) master, owner
相處	xiāngchǔ	(Vi) to get along (with), to spend time together
生	shēng	(V) to give birth, to bear
寵物	chǒngwù	(N) pet
單身	dānshēn	(Vs) to be single
醫院	yīyuàn	(N) hospital
意見	yìjiàn	(N) suggestion, opinion
建立	jiànlì	(V) to establish
散步	sànbù	(V-sep) to take a walk
家庭	jiātíng	(N) family
真正	zhēnzhèng	(Vs-attr) real, true, genuine
幸福	xìngfú	(N) happiness, blessing
跌倒	dié dǎo	to fall down
當成	dāngchéng	to consider, view as, regard
忍不住	rěnbúzhù	to be beyond the limits of endurance
多元	duōyuán	(Vs-attr) diverse, diversified
阿姨	āyí	(N) aunt (mother's sisters)'
先生	xiānshēng	(N) husband
下班	xiàbān	(V-sep) to get off work
改	gǎi	(V) correct, check (homework)
公公	gōnggōng	(N) father-in-law (of a female)
全	quán	(Adv) completely, entirely
靠	kào	(V) to depend on, rely on
單親	dānqīn	(Vs-attr) single parent
貴族	guìzú	(N) nobility, aristocrat
時代	shídài	(N) period, time of
強	qiáng	(Vs) strong
追	zhuī	(V) to go after someone trying to establish a relationship of love, to chase
自由	zìyóu	(Vs) free
獨立	dúlì	(Vs) independent
安排	ānpái	(V) to handle, to arrange
享受	xiǎngshòu	(Vst) to enjoy
身邊	shēnbiān	(N) by one's side'
伴	bàn	(N) companion
同居	tóngjū	(Vi) to live together (as a couple), to cohabit
成家	chéngjiā	(Vp) to set up a family, to marry (from the male's perspective)'
負擔	fùdān	(V) to bear (a burden, responsibility)
養家	yǎngjiā	(V-sep) to support one's family'
責任	zérèn	(N) responsibility
亂	luàn	(Vs) to be in turmoil, be in chaos
教養	jiàoyǎng	(V) to raise, bring up, train, educate (one's children)'
接受	jiēshòu	(V) to accept
組成	zǔchéng	(V) to form
道德	dàodé	(Vs) moral
因此	yīncǐ	(Conj) therefore, so
完整	wánzhěng	(Vs) complete, integral, whole
美真	Měizhēn	female person's name'
家華	Jiāhuá	male person's name'
風雲人物	fēngyún rénwù	mover and shaker, popular and influential person
下決心	xià juéxīn	to resolve oneself, make up one's mind (to do something)'
整夜	zhěngyè	(N) all night
開	kāi	(V) to turn on, to power on
燈	dēng	(N) light, lamp
電玩	diànwán	(N) video game
球賽	qiúsài	(N) ball game
激動	jīdòng	(Vs) to be excited
喊	hǎn	(Vi) to yell, shout
公職	gōngzhí	(N) government posts
其實	qíshí	(Adv) in fact, actually
公務員	gōngwù yuán	(N) civil servant
煩	fán	(Vs) a "drag", a pain in the neck
聽話	tīnghuà	(Vs-sep) to listen, to obey
失業率	shīyèlǜ	(N) unemployment rate
門	mén	(M) measure word for academic courses
讀書	dúshū	(V-sep) to study
學分	xuéfēn	(N) (academic) credits
修	xiū	(V) to take (courses)
專心	zhuānxīn	(Vs) to focus on, concentrate
修課	xiūkè	(V-sep) to take a class
輔系	fǔxì	(N) minor (in college)
瘋	fēng	(Vp) to go crazy, to be insane
誇張	kuāzhāng	(Vs) to be exaggerated
舉行	jǔxíng	(V) to hold (a conference, exhibition)
遺憾	yíhàn	(Vs) regretful (that something undesirable happened), a pity, a shame
兒子	érzi	(N) son
期望	qíwàng	(N) expectations
狀元	zhuàngyuán	(N) top-ranking in a public exam (originally the person with the highest marks on the imperial test)
努力	nǔlì	(Vs) diligent in
怎麼回事	zěnme huíshì	What's wrong?'
大喊大叫	dàhǎn dàjiào	to yell, yelling, shouting
期中考	qízhōng kǎo	mid-term exam
密集班	mìjí bān	intensive course
畢業展	bìyè zhǎn	graduation exhibition
服裝設計	fúzhuāng shèjì	fashion design
醫學系	yīxué xì	department of medicine
行行出狀元	hángháng chū zhuàngyuán	there is a leader in every industry
冠軍	guànjūn	(N) champion, championship
大賽	dàsài	(N) a major, usually international, competition
通過	tōngguò	(Vpt) to pass
高級	gāojí	(Vs-attr) high level, advanced
碩士	shuòshì	(N) master's degree'
面試	miànshì	(N) interview
卻	què	(Adv) but, yet
國中	guózhōng	(N) junior middle school
學歷	xuélì	(N) educational background
拒絕	jùjué	(V) to reject
引起	yǐnqǐ	(Vpt) to stir up, generate, cause
彈性	tánxìng	(N) flexibility
改變	gǎibiàn	(V) to undergo change
制度	zhìdù	(N) system
基礎	jīchǔ	(N) foundation, fundamentals
認真	rènzhēn	(Vs) earnest, serious
公平	gōngpíng	(Vs) fair
出生	chūshēng	(Vp) to be born
窮	qióng	(Vs) poor
父親	fùqīn	(N) father
母親	mǔqīn	(N) mother
學徒	xuétú	(N) apprentice
吃苦	chīkǔ	(Vs-sep) experience tough times
明白	míngbái	(Vst) to understand
當兵	dāngbīng	(V-sep) to be a soldier, to do military service
認字	rènzì	(Vi) to learn characters
烘焙	hōngbèi	(V) to bake
學習	xuéxí	(V) to study
技術	jìshù	(N) skills
藝術	yìshù	(N) art
經過	jīngguò	(Prep) after
終於	zhōngyú	(Adv) finally
億	yì	(N) 100 million
夢想	mèngxiǎng	(N) dream, ideals (not during sleep)
成為	chéngwéi	(Vpt) to become
企業家	qìyèjiā	(N) entrepreneur
分店	fēndiàn	(N) branch store, branch office
原因	yuányīn	(N) reason
錄取	lùqǔ	(V) to accept (application), to admit
成功	chénggōng	(Vs) successful
鼓勵	gǔlì	(V) to encourage
吳寶春	Wú Bǎochūn	a famous baker from Taiwan
新加坡	Xīnjiāpō	Singapore
日文	Rìwén	Japanese language or writing
世界麵包大賽	shìjiè miànbāo dàsài	The Bakery World Cup
小時候	xiǎo shíhòu	in one's childhood'
大開眼界	dàkāi yǎnjiè	to have one's eyes opened'
X 分之 Y	X fēn zhī Y	pattern for indicating percentages or fractions
訂單	dìngdān	(N) an order (trading)
客戶	kèhù	(N) customer, client
方便	fāngbiàn	(V) to offer convenience
訂購	dìnggòu	(V) to order, place an order
成立	chénglì	(V) to establish, set up
假日	jiàrì	(N) holiday
販賣	fànmài	(V) to sell
阿嬤	āmà	(N) grandma, older woman (Taiwanese)
中間商	zhōngjiānshāng	(N) middleman, reseller
經營	jīngyíng	(V) to operate, run (a business)
宅配	zháipèi	(Vi) express delivery
下	xià	(V) to place (an order)
既	jì	(Adv) not merely
隨時	suíshí	(Adv) anytime
搜尋	sōuxún	(V) to search
冰箱	bīngxiāng	(N) refrigerator (lit. ice box)
吃虧	chīkuī	(Vs-sep) to suffer a loss
比價	bǐjià	(V-sep) to compare prices, price comparison
風險	fēngxiǎn	(N) risk
賣家	màijiā	(N) seller
必須	bìxū	(Vaux) must, to have to
信用	xìnyòng	(N) credibility
萬一	wànyī	(Conj) in case
滿意	mǎnyì	(Vst) satisfied
以內	yǐnèi	(N) within
普遍	pǔbiàn	(Vs) widespread, common
選擇	xuǎnzé	(V) to choose
網購	wǎng gòu	online shopping
貨比三家不吃虧	huò bǐ sān jiā bù chīkuī	shop around and you won't get ripped off (lit. Compare products at three stores and you won't be cheated)'
兩成	liǎng chéng	20 % , literally 2/10
鳳梨	fènglí	(N) pineapple
農產品	nóngchǎnpǐn	(N) agricultural product
出口	chūkǒu	(V) to export
曾經	céngjīng	(Adv) been the case before, once
占	zhàn	(Vst) to constitute, to account for
成本	chéngběn	(N) costs
價格	jiàgé	(N) price
競爭	jìngzhēng	(Vi) to compete against
好運	hǎoyùn	(N) good luck
內餡	nèixiàn	(N) filling (of pastries etc.)
當做	dāngzuò	(V) to treat as, to serve as
喜餅	xǐbǐng	(N) wedding-announcement pastries
喜愛	xǐ'ài	(Vst) fond of
茶點	chádiǎn	(N) snacks, dessert (served with tea)
商機	shāngjī	(N) business opportunity
代表	dàibiǎo	(V) to represent
政府	zhèngfǔ	(N) government
舉辦	jǔbàn	(V) to organize, hold
產值	chǎnzhí	(N) production value, output
提高	tígāo	(V) to increase, to elevate
知名	zhīmíng	(Vs) well known, renowned
出現	chūxiàn	(Vp) to appear
科技	kējì	(N) technology
（台）斤	(Tái) jīn	(M) catty, a unit of measure in Taiwan, equivalent to 600 grams
叔叔	shúshu	(N) uncle (father's younger brother)'
口味	kǒuwèi	(N) flavor
結果	jiéguǒ	(Adv) as a result
購買	gòumǎi	(V) to purchase
改善	gǎishàn	(V) to improve
並且	bìngqiě	(Conj) moreover
行銷	xíngxiāo	(V) to market
團購	tuángòu	(V) to group buy (for cheaper prices)
店面	diànmiàn	(N) storefront
全	quán	(Det) entire
閩南語	Mǐnnányǔ	Southern Min dialect, i.e., Taiwanese
旺來	wànglái	Southern Min sound for pineapple, lit. “abundance comes"
東京	Dōngjīng	Tokyo
鳳梨酥	fènglí sū	pineapple shortcake
第二位	dì èr wèi	second (place)
鳳梨農	fènglí nóng	pineapple farmer
住院	zhùyuàn	(V-sep) to stay in a hospital, be hospitalized
臉	liǎn	(N) face
受傷	shòushāng	(Vp-sep) to be injured
撞	zhuàng	(V) to hit, collide
遵守	zūnshǒu	(V) to obey, follow, comply with
規則	guīzé	(N) rules, regulations
報警	bàojǐng	(V-sep) to report to (or call) the police
急診室	jízhěnshì	(N) emergency room
傷	shāng	(N) injury
骨折	gǔzhé	(Vp) to fracture, break a bone
片子	piànzi	(N) (X-ray) film
開刀	kāidāo	(V-sep) to have surgery
病人	bìngrén	(N) patient
情況	qíngkuàng	(N) situation
緊急	jǐnjí	(Vs) urgent
病床	bìngchuáng	(N) hospital bed
要命	yàomìng	(Vs) murderous, horrible
打針	dǎzhēn	(V-sep) to inject, give a shot
止痛	zhǐtòng	(Vi) to kill pain (lit. stop pain)
手術	shǒushù	(N) operation, surgery
警察	jǐngchá	(N) police
危險	wéixiǎn	(N) danger
至於	zhìyú	(Ptc) as to, regarding
部位	bùwèi	(N) (body) part, location
恢復	huīfù	(Vp) to recover
傷口	shāngkǒu	(N) wound
哎呀	āiya	(Ptc) interjection for realization of something important, oh no, yikes
出車禍	chū chēhuò	to have an automobile accident
趕時間	gǎn shíjiān	to be in a hurry
撞倒	zhuàng dǎo	to knock down, knock over
救護車	jiùhù chē	ambulance
照 X 光	zhào X guāng	to take an X-ray
動手術	dòng shǒushù	to have/undergo a surgery
醫美	yīměi	(N) cosmetic surgery
合理	hélǐ	(Vs) reasonable
休假	xiūjià	(V-sep) to take time off
迷人	mírén	(Vs) charming, attractive
職場	zhíchǎng	(N) workplace
競爭力	jìngzhēnglì	(N) competitive edge
調查	diàochá	(N) survey, investigation
整型	zhěngxíng	(V-sep) plastic surgery
增加	zēngjiā	(V) to increase
自信	zìxìn	(N) self-confidence
外表	wàibiǎo	(N) appearance, exterior
普通	pǔtōng	(Vs) common, ordinary
從事	cóngshì	(V) to be engaged in, work in (a field of work)
